Distrito;Año;Renta neta media por persona;Renta neta media por hogar;Media de la renta neta por unidad de consumo;Mediana de la renta neta por unidad de consumo;Renta bruta media por persona;Renta media bruta por hogar
Ciudad de Madrid;2015;15.257;38.539;22.927;17.850;19.172;48.430
Ciudad de Madrid;2016;15.717;39.613;23.548;17.850;19.771;49.831
Ciudad de Madrid;2017;15.930;40.195;23.949;18.550;20.161;50.872
Ciudad de Madrid;2018;16.700;42.283;25.141;19.250;21.236;53.768
Ciudad de Madrid;2019;17.030;43.393;25.639;19.950;21.638;55.136
Ciudad de Madrid;2020;17.059;43.003;25.535;19.950;21.652;54.580
Ciudad de Madrid;2021;17.586;43.953;26.348;20.650;22.587;56.453
Ciudad de Madrid;2022;18.632;46.651;27.889;22.050;23.984;60.049
01. Centro;2015;15.512;31.392;21.359;16.450;19.451;39.364
01. Centro;2016;16.147;32.458;22.249;17.150;20.364;40.936
01. Centro;2017;16.711;33.473;23.031;17.850;21.236;42.537
01. Centro;2018;17.932;36.072;24.823;19.250;23.062;46.394
01. Centro;2019;18.789;38.171;25.970;19.950;24.135;49.030
01. Centro;2020;18.314;36.984;25.307;19.950;23.515;47.488
01. Centro;2021;19.199;38.360;26.442;20.650;24.911;49.775
01. Centro;2022;20.587;41.059;28.500;22.050;27.030;53.908
02. Arganzuela;2015;16.855;40.203;24.732;22.050;21.012;50.118
02. Arganzuela;2016;17.306;41.122;25.415;22.750;21.650;51.444
02. Arganzuela;2017;17.738;42.088;25.987;23.450;22.253;52.801
02. Arganzuela;2018;18.473;43.789;27.161;24.150;23.373;55.403
02. Arganzuela;2019;19.088;45.262;28.012;25.550;24.137;57.235
02. Arganzuela;2020;19.284;45.310;28.177;25.550;24.443;57.433
02. Arganzuela;2021;20.103;46.699;29.303;26.250;25.687;59.671
02. Arganzuela;2022;21.383;49.236;31.038;28.350;27.431;63.160
03. Retiro;2015;20.900;51.795;31.342;26.250;26.859;66.563
03. Retiro;2016;21.504;52.963;32.274;26.950;27.816;68.509
03. Retiro;2017;21.598;53.111;32.571;26.950;28.178;69.292
03. Retiro;2018;22.706;55.775;34.260;28.350;29.586;72.675
03. Retiro;2019;23.262;57.027;34.843;29.050;30.190;74.012
03. Retiro;2020;23.227;56.302;34.790;29.050;30.316;73.486
03. Retiro;2021;23.925;57.448;35.706;30.450;31.523;75.689
03. Retiro;2022;25.407;60.762;37.916;31.850;33.396;79.868
04. Salamanca;2015;23.009;53.978;34.315;25.550;30.874;72.431
04. Salamanca;2016;24.433;57.147;35.628;26.250;32.560;76.153
04. Salamanca;2017;24.683;57.720;36.609;26.950;33.266;77.789
04. Salamanca;2018;26.255;61.466;39.059;27.650;35.635;83.424
04. Salamanca;2019;25.770;60.435;39.137;28.350;35.091;82.296
04. Salamanca;2020;25.932;60.401;39.001;28.350;34.962;81.434
04. Salamanca;2021;25.956;60.217;39.424;29.750;35.734;82.900
04. Salamanca;2022;28.140;64.925;42.592;31.150;38.751;89.407
05. Chamartín;2015;24.155;60.962;37.701;27.650;32.699;82.526
05. Chamartín;2016;25.969;65.260;40.046;28.350;35.057;88.097
05. Chamartín;2017;26.267;65.995;41.044;29.050;35.826;90.014
05. Chamartín;2018;28.190;70.735;44.413;30.450;38.719;97.153
05. Chamartín;2019;27.634;69.558;43.352;31.150;37.952;95.528
05. Chamartín;2020;27.719;69.202;42.903;31.150;37.669;94.042
05. Chamartín;2021;28.233;69.670;43.930;32.550;39.346;97.093
05. Chamartín;2022;30.506;74.842;47.564;34.650;42.678;104.706
06. Tetuán;2015;14.563;34.702;20.939;16.450;17.969;42.817
06. Tetuán;2016;14.970;35.609;21.524;16.450;18.557;44.139
06. Tetuán;2017;15.180;36.142;21.817;17.150;18.893;44.982
06. Tetuán;2018;15.742;37.557;22.642;17.850;19.614;46.794
06. Tetuán;2019;16.354;39.332;23.602;18.550;20.468;49.228
06. Tetuán;2020;16.336;38.799;23.462;18.550;20.476;48.633
06. Tetuán;2021;17.026;39.991;24.442;19.250;21.495;50.487
06. Tetuán;2022;18.062;42.465;25.955;20.650;22.890;53.816
07. Chamberí;2015;21.558;48.997;31.837;24.850;28.448;64.655
07. Chamberí;2016;22.499;50.882;33.057;25.550;29.467;66.642
07. Chamberí;2017;22.897;51.644;33.842;26.250;30.332;68.412
07. Chamberí;2018;24.112;54.327;35.631;26.950;32.607;73.467
07. Chamberí;2019;24.881;56.073;36.696;28.350;33.259;74.953
07. Chamberí;2020;24.913;55.757;36.552;28.350;33.182;74.262
07. Chamberí;2021;25.275;56.281;37.509;29.750;34.660;77.178
07. Chamberí;2022;27.076;60.032;40.145;31.150;36.934;81.889
08. Fuencarral-El Pardo;2015;18.109;48.859;28.275;22.750;23.191;62.571
08. Fuencarral-El Pardo;2016;18.573;50.087;29.042;23.450;23.850;64.319
08. Fuencarral-El Pardo;2017;18.661;50.379;29.307;24.150;24.149;65.194
08. Fuencarral-El Pardo;2018;19.551;52.858;30.660;24.850;25.252;68.272
08. Fuencarral-El Pardo;2019;20.105;54.493;31.461;26.250;25.933;70.290
08. Fuencarral-El Pardo;2020;20.217;54.292;31.578;26.250;26.196;70.348
08. Fuencarral-El Pardo;2021;20.671;55.125;32.322;26.950;27.058;72.159
08. Fuencarral-El Pardo;2022;21.947;58.214;34.241;28.350;28.798;76.386
09. Moncloa-Aravaca;2015;21.689;56.458;34.075;24.150;29.201;76.013
09. Moncloa-Aravaca;2016;22.152;57.423;34.692;24.850;29.716;77.031
09. Moncloa-Aravaca;2017;22.792;58.965;35.875;25.550;30.818;79.729
09. Moncloa-Aravaca;2018;24.686;64.066;38.778;26.950;33.511;86.969
09. Moncloa-Aravaca;2019;24.025;62.482;38.086;27.650;32.912;85.595
09. Moncloa-Aravaca;2020;24.138;62.202;37.574;27.650;32.484;83.710
09. Moncloa-Aravaca;2021;24.659;63.205;38.543;29.050;33.833;86.718
09. Moncloa-Aravaca;2022;26.694;68.238;41.666;30.450;36.592;93.541
10. Latina;2015;12.057;30.157;17.618;15.750;14.235;35.605
10. Latina;2016;12.232;30.490;17.881;15.750;14.457;36.037
10. Latina;2017;12.370;30.847;18.066;15.750;14.663;36.567
10. Latina;2018;12.749;31.872;18.630;16.450;15.120;37.799
10. Latina;2019;13.179;33.237;19.265;17.150;15.672;39.525
10. Latina;2020;13.261;32.957;19.276;17.150;15.802;39.272
10. Latina;2021;13.719;33.790;19.903;17.850;16.424;40.451
10. Latina;2022;14.375;35.669;20.833;18.550;17.267;42.843
11. Carabanchel;2015;10.758;27.940;15.962;13.650;12.604;32.735
11. Carabanchel;2016;10.872;28.301;16.122;13.650;12.757;33.208
11. Carabanchel;2017;10.988;28.721;16.319;14.350;12.941;33.823
11. Carabanchel;2018;11.327;29.842;16.824;14.350;13.356;35.187
11. Carabanchel;2019;11.679;31.190;17.354;15.050;13.789;36.827
11. Carabanchel;2020;11.713;30.890;17.295;15.050;13.854;36.536
11. Carabanchel;2021;12.275;32.050;18.120;15.750;14.611;38.149
11. Carabanchel;2022;12.764;33.786;18.831;16.450;15.239;40.339
12. Usera;2015;9.276;25.573;13.939;12.250;10.720;29.553
12. Usera;2016;9.395;25.954;14.139;12.250;10.872;30.036
12. Usera;2017;9.552;26.501;14.364;12.250;11.076;30.729
12. Usera;2018;9.860;27.674;14.853;12.950;11.442;32.116
12. Usera;2019;10.211;29.061;15.402;13.650;11.877;33.802
12. Usera;2020;10.239;28.770;15.359;13.650;11.928;33.517
12. Usera;2021;10.797;30.023;16.165;14.350;12.678;35.253
12. Usera;2022;11.430;31.996;17.143;15.050;13.481;37.737
13. Puente de Vallecas;2015;9.386;24.690;13.880;12.250;10.785;28.371
13. Puente de Vallecas;2016;9.545;25.029;14.104;12.250;10.979;28.788
13. Puente de Vallecas;2017;9.706;25.527;14.338;12.950;11.194;29.442
13. Puente de Vallecas;2018;10.045;26.652;14.862;12.950;11.599;30.777
13. Puente de Vallecas;2019;10.402;27.975;15.404;13.650;12.030;32.353
13. Puente de Vallecas;2020;10.445;27.714;15.377;13.650;12.088;32.073
13. Puente de Vallecas;2021;10.941;28.681;16.116;14.350;12.739;33.395
13. Puente de Vallecas;2022;11.452;30.339;16.852;15.050;13.354;35.380
14. Moratalaz;2015;13.714;34.753;20.307;17.850;16.537;41.905
14. Moratalaz;2016;13.944;35.059;20.561;17.850;16.840;42.343
14. Moratalaz;2017;14.135;35.514;20.822;18.550;17.110;42.990
14. Moratalaz;2018;14.637;36.755;21.520;18.550;17.726;44.513
14. Moratalaz;2019;15.101;37.951;22.172;19.250;18.335;46.078
14. Moratalaz;2020;15.294;37.890;22.335;19.250;18.620;46.129
14. Moratalaz;2021;15.667;38.421;22.856;19.950;19.118;46.884
14. Moratalaz;2022;16.437;40.325;23.900;21.350;20.091;49.289
15. Ciudad Lineal;2015;14.767;36.833;21.948;17.150;18.284;45.604
15. Ciudad Lineal;2016;15.048;37.421;22.334;17.850;18.657;46.397
15. Ciudad Lineal;2017;15.111;37.621;22.421;17.850;18.805;46.819
15. Ciudad Lineal;2018;15.815;39.425;23.452;18.550;19.695;49.097
15. Ciudad Lineal;2019;16.349;40.948;24.252;19.250;20.416;51.132
15. Ciudad Lineal;2020;16.436;40.532;24.229;19.250;20.559;50.699
15. Ciudad Lineal;2021;16.890;41.311;24.874;19.950;21.295;52.085
15. Ciudad Lineal;2022;17.808;43.738;26.175;21.350;22.440;55.112
16. Hortaleza;2015;17.662;47.113;27.671;21.350;22.910;61.111
16. Hortaleza;2016;18.277;48.688;28.561;21.350;23.731;63.215
16. Hortaleza;2017;18.620;49.695;29.213;22.050;24.327;64.927
16. Hortaleza;2018;19.759;52.944;31.103;23.450;25.926;69.468
16. Hortaleza;2019;20.044;53.836;31.437;24.150;26.201;70.372
16. Hortaleza;2020;19.890;52.880;31.144;24.150;26.085;69.350
16. Hortaleza;2021;20.500;54.316;32.206;24.850;27.311;72.362
16. Hortaleza;2022;21.766;57.506;34.164;26.950;29.047;76.741
17. Villaverde;2015;9.642;26.599;14.535;12.950;11.172;30.820
17. Villaverde;2016;9.756;26.915;14.716;12.950;11.320;31.230
17. Villaverde;2017;9.875;27.392;14.901;12.950;11.478;31.838
17. Villaverde;2018;10.164;28.407;15.351;13.650;11.823;33.042
17. Villaverde;2019;10.540;29.873;15.919;14.350;12.280;34.805
17. Villaverde;2020;10.591;29.640;15.938;14.350;12.374;34.628
17. Villaverde;2021;11.059;30.673;16.590;15.050;12.970;35.973
17. Villaverde;2022;11.563;32.527;17.366;15.750;13.604;38.269
18. Villa de Vallecas;2015;11.688;30.175;17.502;15.750;13.926;35.955
18. Villa de Vallecas;2016;11.925;30.861;17.914;16.450;14.238;36.847
18. Villa de Vallecas;2017;12.114;31.447;18.216;16.450;14.526;37.709
18. Villa de Vallecas;2018;12.545;32.765;18.918;17.150;15.053;39.314
18. Villa de Vallecas;2019;12.976;34.168;19.607;17.850;15.615;41.118
18. Villa de Vallecas;2020;13.099;34.190;19.712;17.850;15.779;41.186
18. Villa de Vallecas;2021;13.605;35.278;20.469;18.550;16.498;42.779
18. Villa de Vallecas;2022;14.274;36.998;21.433;19.250;17.346;44.960
19. Vicálvaro;2015;11.375;31.466;17.597;15.750;13.604;37.633
19. Vicálvaro;2016;11.695;32.152;18.018;16.450;14.021;38.547
19. Vicálvaro;2017;11.941;32.713;18.345;16.450;14.363;39.348
19. Vicálvaro;2018;12.353;33.870;18.999;17.150;14.908;40.878
19. Vicálvaro;2019;12.916;35.510;19.715;17.850;15.582;42.841
19. Vicálvaro;2020;13.123;35.589;19.907;17.850;15.875;43.054
19. Vicálvaro;2021;13.849;37.141;20.948;19.250;16.918;45.373
19. Vicálvaro;2022;14.832;39.505;22.364;20.650;18.214;48.513
20. San Blas-Canillejas;2015;13.171;34.498;20.069;16.450;16.065;42.075
20. San Blas-Canillejas;2016;13.404;35.077;20.379;17.150;16.378;42.858
20. San Blas-Canillejas;2017;13.559;35.546;20.575;17.150;16.592;43.499
20. San Blas-Canillejas;2018;14.100;37.112;21.371;17.850;17.320;45.589
20. San Blas-Canillejas;2019;14.545;38.560;21.991;18.550;17.899;47.453
20. San Blas-Canillejas;2020;14.537;38.163;21.874;18.550;17.919;47.039
20. San Blas-Canillejas;2021;15.115;39.321;22.694;19.250;18.767;48.822
20. San Blas-Canillejas;2022;15.902;41.474;23.785;19.950;19.768;51.558
21. Barajas;2015;17.257;46.347;26.869;22.750;22.015;59.125
21. Barajas;2016;17.641;47.389;27.442;22.750;22.453;60.314
21. Barajas;2017;17.807;47.782;27.669;23.450;22.703;60.920
21. Barajas;2018;18.514;49.615;28.720;24.150;23.666;63.422
21. Barajas;2019;19.026;51.108;29.561;24.850;24.393;65.523
21. Barajas;2020;19.138;50.985;29.553;24.850;24.570;65.454
21. Barajas;2021;19.482;51.400;29.915;25.550;25.207;66.506
21. Barajas;2022;20.788;54.343;31.942;26.950;27.125;70.909